Case_Number,Date,Offense,Description,Block,City,State,latitude,longitude
1800034371,4/20/18,ASSAULT,ASSAULT/SIMPLE/CC,689 E AIRPORT AV,BATON ROUGE,LA,30.444057,-91.102122
1800002614,1/8/18,Assault,BATT/SIMPLE/CC,620 AMERICA ST,BATON ROUGE,LA,30.445987,-91.184171
1800072951,8/10/18,Assault,DOMESTIC ABUSE BATT,610 S 10TH ST,BATON ROUGE,LA,30.442738,-91.179199
1800086494,9/19/18,ASSAULT,ASSAULT/AGG,3420 WHITE SANDS DR,BATON ROUGE,LA,30.480798,-91.064173
1800006552,1/20/18,Assault,BATT/SIMPLE/CC,4017 ELEANOR DR,BATON ROUGE,LA,30.486451,-91.139046
1800085861,9/17/18,Assault,BATT/SIMPLE/CC,5615 COLLEGE DR,BATON ROUGE,LA,30.436776,-91.131544
1800066309,7/22/18,HOMICIDE,MURDER/GUN 1ST DEGREE,706 E GRANT ST,BATON ROUGE,LA,30.422828,-91.175861
1800088139,9/24/18,HOMICIDE,MURDER/GUN 1ST DEGREE,5500 JACKSON AV,BATON ROUGE,LA,30.467078,-91.134422
1800116912,12/21/18,Assault,BATT/SIMPLE/CC,6401 BLUEBONNET BL,BATON ROUGE,LA,30.392517,-91.090116
1800041661,5/13/18,Assault,DOMESTIC ABUSE BATT,2955 JEFFERSON AV,BATON ROUGE,LA,30.464508,-91.158789
1800041872,5/14/18,Assault,BATT/AGG OTHER DANGER WEAPON,2100 CHOCTAW DR,BATON ROUGE,LA,30.469842,-91.168168
1800041315,5/12/18,ASSAULT,ASSAULT/AGG/CC,12254 LA MARGIE AV,BATON ROUGE,LA,30.469979,-91.045953
1800037743,5/1/18,ASSAULT,ASSAULT/ AGG FIREARM,3939 EVANGELINE ST,BATON ROUGE,LA,30.492891,-91.149993
1800047056,5/30/18,Assault,DOMESTIC ABUSE BATTERY/CC,1658 BELLROSE DR,BATON ROUGE,LA,30.439359,-91.058602
1800083781,9/12/18,Assault,DOMESTIC ABUSE BATT,6907 GOYA AV,BATON ROUGE,LA,30.459137,-91.120041
1800069847,8/1/18,ASSAULT,ASSAULT/AGG FIREARM,10530 FLORIDA BL,BATON ROUGE,LA,30.456754,-91.069844
1800061126,7/7/18,Assault,DOMESTIC ABUSE BATT,1202 MAXIMILIAN ST,BATON ROUGE,LA,30.436959,-91.181134
1800014978,2/16/18,Assault,DOMESTIC ABUSE BATTERY/CC,6103 FLORIDA BL,BATON ROUGE,LA,30.451296,-91.126793
1800025748,3/23/18,Assault,DOMESTIC ABUSE BATTERY/CC,11445 BARD AV,BATON ROUGE,LA,30.467938,-91.055984
1800037928,5/2/18,Assault,DOMESTIC ABUSE BATTERY/CC,4114 PROVOST ST,BATON ROUGE,LA,30.460212,-91.149089
1800004730,1/13/18,Assault,DOMESTIC ABUSE BATT,1566 ROSENWALD RD,BATON ROUGE,LA,30.531499,-91.177933
1800112828,12/9/18,HOMICIDE,MURDER/GUN 2ND DEGREE,5396 UNDERWOOD AV,BATON ROUGE,LA,30.474029,-91.136487
1800108523,11/25/18,HOMICIDE,MURDER/KNIFE 2ND DEGREE,5025 DOUGLAS AV,BATON ROUGE,LA,30.495134,-91.161911
1800055105,6/21/18,ASSAULT,DOMESTIC ABUSE BATTERY,3057 OZARK ST,BATON ROUGE,LA,30.479069,-91.159068
1800112291,12/7/18,Assault,DOMESTIC ABUSE BATT,6325 CYRUS AV,BATON ROUGE,LA,30.489304,-91.127123
1800101364,11/3/18,Assault,BATT/SIMPLE/CC,2000 BRIGHTSIDE DR,BATON ROUGE,LA,30.388113,-91.180678
1800112097,12/6/18,Assault,DOMESTIC ABUSE BATTERY/CC,329 RIVERCREST AV,BATON ROUGE,LA,30.541487,-91.197604
1800022059,3/11/18,ASSAULT,BATT/DOM ABU CHILD ENDANGER/MISD,2370 BALIS DR,BATON ROUGE,LA,30.426726,-91.140194
1800034078,4/19/18,Assault,BATT/SIMPLE/CC,7923 TOM DR,BATON ROUGE,LA,30.465673,-91.106688
1800095023,10/14/18,Assault,BATT/AGG OTHER DANGER WEAPON,6636 HARRY DR,BATON ROUGE,LA,30.456961,-91.122962
1800110135,11/30/18,Assault,BATT/AGG OTHER DANGER WEAPON,140 ELMER AV,BATON ROUGE,LA,30.537854,-91.201062
1800118370,12/26/18,HOMICIDE,MURDER/GUN 2ND DEGREE,5200 WASHINGTON AV,BATON ROUGE,LA,30.466186,-91.136903
1800008199,1/25/18,ASSAULT,ASSAULT/SIMPLE/CC,3600 FLORIDA ST,BATON ROUGE,LA,30.450336,-91.154638
1800037602,5/1/18,HOMICIDE,MURDER/GUN 1ST DEGREE,4000 HAZELWOOD DR,BATON ROUGE,LA,30.485942,-91.141345
1800015401,2/18/18,Assault,DOMESTIC ABUSE BATTERY/CC,881 VIOLET ST,BATON ROUGE,LA,30.420253,-91.186972
1800037057,4/29/18,ASSAULT,ASSAULT/SIMPLE/CC,10044 ALPHA DR,BATON ROUGE,LA,30.488989,-91.072973
1800038114,5/2/18,Assault,DOMESTIC ABUSE BATTERY/CC,16525 S AMITE DR,BATON ROUGE,LA,30.474627,-91.005604
1800116433,12/20/18,Assault,DOMESTIC ABUSE BATTERY/CC,3342 OSWEGO ST,BATON ROUGE,LA,30.480553,-91.155914
1800037201,4/29/18,ASSAULT,DOMESTIC ABUSE BATTERY,3424 IROQUOIS ST,BATON ROUGE,LA,30.472273,-91.155091
1800104876,11/14/18,ASSAULT,DOMESTIC ABUSE BATTERY,450 CLOUD DR,BATON ROUGE,LA,30.445962,-91.131937
1800042120,5/15/18,ASSAULT,BATT/DOM ABU CHILD ENDANGER/MISD,5629 FAIRFIELDS AV,BATON ROUGE,LA,30.467933,-91.133039
1800001290,1/4/18,Assault,BATT/SIMPLE,3105 HIGHLAND RD,BATON ROUGE,LA,30.420621,-91.177683
1800115614,12/17/18,ASSAULT,ASSAULT/DRIVE-BY SHOOTING,1407 ORIOLE ST,BATON ROUGE,LA,30.528365,-91.179229
1800015392,2/18/18,ASSAULT,ASSAULT/SIMPLE/CC,500 E GARFIELD ST,BATON ROUGE,LA,30.422491,-91.176945
